screen_name	created_at	text	location	followers_count
fleetstquarter	2021-02-08 17:55:05	"This government drive to increase workplace #covid19 testing is good news for London businesses that remain open. Rapid workplace testing could be an important tool for businesses as recovery gets underway - we hope to see it continue beyond lockdown.
https://t.co/mfJgur7xNm"	""	45
AldgateBID	2021-02-08 17:55:04	"This government drive to increase workplace #covid19 testing is good news for London businesses that remain open. Rapid workplace testing could be an important tool for businesses as recovery gets underway - we hope to see it continue beyond lockdown.
https://t.co/oR5KkeRVie"	Aldgate, London	1271
stocktoncouncil	2021-02-08 17:55:04	"<U+26A0><U+FE0F>#Covid19 is serious. It can make you very ill and sadly, there have been more than 400 COVID-related deaths in the Borough.

<U+0001F3E1> We can all play our part by sticking to the national lockdown rules and only leaving home when it is essential.

<U+2705> And don't forget #HandsFaceSpace https://t.co/gYIniE1PKg"	Stockton-on-Tees, UK	17678
AntheaJ47	2021-02-08 17:55:04	@Gloria93231171 Agreed Gloria. We've had almost a year of this. A year of nothing like normality. I don't blame the Gov. I blame all who sit there thinking this is the right way to live for the sake of #Covid19, yet with zero regard for the other side of the coin.	Bedfordshire 	15414
AntheaJ47	2021-02-08 17:29:09	@JBainsworthy Who says the briefings aren't fake news?? <U+0001F937> We get quoted #Covid19 fatalities whether it was a cause or not. All you have to do is great positive within 28 days.	Bedfordshire 	15414
ashhra	2021-02-08 17:55:03	Your facemask should fit snugly and cover BOTH your mouth and nose. #WearAMask to protect against the spread of germs. https://t.co/gdtITAVmbr #COVID19 #MaskUp https://t.co/sjqyxcnRRv	Chicago, IL	2333
thatRoyce	2021-02-08 17:46:09	"Lack of local production and reliance on what are essentially charity programs to obtain doses are setting Africans up for a long wait for the vaccine.

https://t.co/0Dbs4no4cn https://t.co/BpTYpVSIFA"	""	146
thatRoyce	2021-02-08 17:55:00	"When can Africans expect to receive the vaccine?

Probably not any time soon.

https://t.co/0Dbs4no4cn"	""	146
FreedmanTeam	2021-02-08 17:55:00	"Mayors and cities have critical roles to play in supporting a fast and equitable #COVID19 vaccine rollout.

@BloombergCities highlights what actions @Burlington_VT, @louisvillekygov, @cityofdayton, @BaltCityHall, and @CityOfNOLA are taking to achieve this. https://t.co/RpgMmcrals"	Washington, DC	1168
NMHC_News	2021-02-08 17:55:00	Parents want to know if and when the #covidvaccine will be available for their children. @NorthwesternMed infectious disease specialist @IrfanHafizMD, explains the research that is needed before kids can be immunized for #covid19. https://t.co/wkqGxHTNBe	Chicago, IL	1264
versaclouderp	2021-02-08 17:55:00	"Coffee Keeps Its Mojo: Producers Overcome Pandemic Obstacles: @NPR @jasonbnpr
https://t.co/jBH65FxppA
#covid19 #coronavirus #coffee #supplychain"	Portland, OR	78
Chainalytics	2021-02-08 17:55:00	“In 2021, consumers will expect innovations within e-commerce, coupled with the familiarity of brick-and-mortar.” #brightmindsfind #omnichannel #ecommerce #brickandmortar #flagship #digitalfirst #COVID19 #retail #customerexperience #retailtainment https://t.co/DpHHLf1vHj	North America | Europe | APAC	1859
Worldsbestpsych	2021-02-08 17:54:59	Well that was painless. I just hope the COVID19 JAB does the job. Stay Safe and Well Everyone!	Cardiff, United Kingdom	119
CorkNutrition	2021-02-08 17:54:57	What a great start to the week! The HSE Portal for Healthcare professionals to register for #covid19 #vaccination will be live tomorrow! <U+0001F637><U+0001F9A0><U+0001F489><U+0001F489><U+0001F489><U+0001F973> https://t.co/HlEKJqWNF6	Cork & Dublin, Ireland  	5318
TnCoNews1	2021-02-08 17:54:56	"Children/Young Adults Experiencing Increased Mental Health Issues &amp; Suicide Also On Rise Within Age Group At Least In Part Because Of Ongoing State Shutdowns.
https://t.co/tnR6I4cUNY

#thetennesseeconservative #GenerationLockdown #COVID19 #covid19lockdown #mentalhealth #suicide"	Chattanooga, TN	54
Ravenmayne	2021-02-08 17:54:56	Continuing to count and add people who have contracted #COVID19 , is like counting people entering a theme park. They are not all staying in there.	Phoenix, Arizona	72
markwheatley34	2021-02-08 17:54:54	"#pandemic #solutions must be #ubiquitous &amp; #equitable 

#DoTheRightThing and #MaskUp to stop the spread of #COVID19 #schools , #business , and #community can remain open if we focus on #transmissibility. If #no #transmissions there is no #mutations or #variants! https://t.co/Bq6J0MqppU"	Victor, NY	45
thecableng	2021-02-08 17:38:24	"BUA Group buys one million doses of AstraZeneca COVID-19 vaccines for Nigeria | TheCable https://t.co/y0vS0EIs8a

#COVID19 
#AstrazenecaVaccine https://t.co/QRvEuXJCRD"	Nigeria	654157
thecableng	2021-02-08 17:54:50	".@PTFCOVID19: 13 cases of #UK COVID-19 strain detected in Nigeria | TheCable
https://t.co/UikBQdyug0

#COVID19 https://t.co/tMxU9vCrAC"	Nigeria	654157
thecableng	2021-02-08 17:31:08	"BREAKING: BUA buys one million doses of AstraZeneca COVID-19 vaccines for Nigeria | TheCable  https://t.co/ui3kIO5cmJ

#COVID19 https://t.co/eRw0Ne5KJB"	Nigeria	654157
thecableng	2021-02-08 17:32:07	"BREAKING: @BUAgroup buys one million doses of AstraZeneca COVID-19 vaccines for Nigeria https://t.co/yT5Xiwkvlg via @thecableng 

#COVID19 
#astrazenecavaccine"	Nigeria	654157
freethinkinvybz	2021-02-08 17:54:48	@matthancock and the rest of his greedy party need to hurry an publish the report on the #profit they made from #ppe and #testandtrace contracts. Then we want to see how much you made on the #vaccine for #covid19 https://t.co/3Ihrwr4QSZ	a pod in the universe	294
xcosmo_x	2021-02-08 17:54:45	#NeedforSpeedHeat #XboxSeriesX #Xbox #XboxOne #Playstation #Playstation5 #PS4 #PS5 #PlaystationWrapUp #twitchstreamers #twitchaffiliate #streaming #streamers #gamers #gamergirls #twitchrecap #COVID19 #PCgaming #gamedev #gaming #GameOver  #games #stream #PC #Nintendo Binance Doge https://t.co/OhM7HgDPwL	""	274
SpencerKarter	2021-02-08 17:53:10	"#BadNews from #SouthAfrica related to #COVID19 #AstraZeneca #Vaccine...#SMH! #DontShootTheMessenger! 
https://t.co/9Lj11PDIbs"	Greenwood, SC	2603
SpencerKarter	2021-02-08 17:54:36	#GOPComplicitTraitors #Karma, #GOPkarma. I heard that #RonWright died from #COVID19 at the age of 67. #KarmaIsReal #DontCensorMe #BlueWave	Greenwood, SC	2603
snehalimajumder	2021-02-08 17:54:31	"@doctorsoumya I would like to known how easy or challenging it has been to conduct COVID19 vaccine trials across the globe? In India I see a lot of apprehension about COVID19 vaccination. The ""infodemic"" about vaccines I think has caused more harm than good."	Bangalore	16
MadeleineSauve	2021-02-08 17:54:31	Just keeps getting worse #covid19 #vaccination #Indigenous #Nuxalk https://t.co/3Qzp7qaDin	Abby in the Valley, BC, Canada	1306
educationblog	2021-02-08 17:54:25	"#EDUCATION: From #tutoring to #summer #school here are some ideas on how schools can help #students overcome #COVID19 #learning loss

https://t.co/ne0sS6qL0x

#children #Kids"	USA	20268
DrAliSKhan	2021-02-08 17:54:20	"#Pandemic Alert. $AZN vaccination halted in ZA after evidence emerged that the vaccine did not protect clinical-trial participants from mild or moderate #COVID19 illness caused by the more contagious virus variant (B.1.351).
https://t.co/a1FlfIw9zP"	Omaha, NE	14831
MemeQueenBritt	2021-02-08 17:54:17	"Read COVID-1984 ""Almost a year later a significant portion of the country is still shut down. Never in history has it been the policy to quarantine the healthy because that is tyranny"" https://t.co/Uw7Y9nSWo4 #COVID #COVID19 #COVID1984 #Coronavirus #ReopenSchools #ReopenAmerica"	Philly	397
AZ360show	2021-02-08 17:54:16	ICYMI: 700k Arizonans have received the #Covid19 vaccine. More from the  @UAZPublicHealth. See you tonight on @azpm at 6:30pm https://t.co/la5PbJYmng	Arizona	1286
bodhibrian	2021-02-08 17:54:16	"@ColinDMello Pity the inmates of Roberta place care home  werent given vitamin  D for covid19 
https://t.co/twbOTZfBb6"	australia	1870
patriotX_6	2021-02-08 17:54:15	"China can go F itself. 

""...treat the United States as a potential origin location for the Chinese coronavirus, despite no scientific evidence suggesting this is possible."" 

#COVID19 #China #CCP #JoeBiden #POTUS #WHO 
https://t.co/0d7zSKQPWc"	""	97
